listing_id,mean_positive,mean_negative,mean_neutral,mean_mixed,number_reviews
13449049,67.18,18.51,14.26,0.05,3
6465075,94.54,4.99,0.13,0.34,20
11866651,97.37,0.27,0.11,2.25,40
3881993,82.58,10.78,3.57,3.07,8
2764624,93.92,0.43,0.47,5.18,109
11649321,51.06,35.99,11.42,1.52,2
13512459,2.38,61.92,35.44,0.26,1
4085362,94.99,2.61,2.37,0.03,20
7692933,98.52,0.05,0.34,1.09,90
1426754,89.83,1.34,1.59,7.25,73
14572511,99.98,0.0,0.01,0.01,1
13861258,99.87,0.01,0.11,0.01,1
4742275,99.93,0.0,0.06,0.01,6
3359170,99.95,0.01,0.04,0.0,1
13652639,94.21,0.01,0.08,5.7,3
14756184,99.95,0.01,0.04,0.0,1
619142,96.93,0.54,0.17,2.37,105
3609536,89.22,4.31,6.37,0.09,9
13450880,79.65,13.03,6.59,0.73,5
9858,1.83,64.02,34.0,0.14,1
6908525,82.39,0.6,2.67,14.34,7
14603878,99.82,0.0,0.15,0.03,2
5592866,99.92,0.0,0.07,0.01,7
197727,95.42,2.59,1.98,0.02,22
4460532,97.05,0.62,0.7,1.63,78
10070404,95.46,0.01,0.13,4.4,15
11912139,99.84,0.01,0.13,0.03,11
1179399,97.25,0.69,0.79,1.27,92
12026868,1.33,32.83,17.04,48.8,2
4838985,83.57,3.35,0.08,13.01,6
8830015,94.57,0.03,0.18,5.22,55
5762866,96.05,0.14,0.07,3.74,5
7273513,99.93,0.0,0.06,0.01,2
13591091,99.96,0.0,0.04,0.0,1
5308475,99.18,0.12,0.62,0.08,12
13015832,68.78,30.76,0.36,0.1,3
3792147,95.83,0.08,0.12,3.97,48
3703674,75.28,14.22,10.47,0.03,4
3701108,98.35,0.02,0.71,0.92,9
13655073,99.95,0.0,0.04,0.01,1
3060038,82.79,8.2,5.08,3.93,24
7527864,89.37,5.98,3.98,0.67,20
14770892,99.89,0.0,0.1,0.0,1
789843,99.9,0.0,0.09,0.01,2
13478868,51.19,36.0,11.28,1.53,2
6300089,86.69,6.53,2.88,3.9,22
4793787,95.24,0.12,0.13,4.51,110
3342206,99.76,0.01,0.01,0.22,2
195515,99.95,0.01,0.03,0.01,1
10928093,99.94,0.0,0.05,0.01,1
220676,98.49,0.2,0.33,0.98,160
12781774,88.59,0.01,0.09,11.3,7
13414367,99.79,0.02,0.15,0.04,5
2776391,90.99,1.95,1.32,5.74,34
8224214,92.91,3.38,0.1,3.62,29
14092792,93.34,0.01,0.12,6.52,6
8717204,96.25,0.01,0.23,3.51,27
5075267,69.2,5.55,0.11,25.14,39
38579,79.06,0.11,0.04,20.78,4
1421610,99.9,0.0,0.08,0.02,6
13724578,83.59,3.91,0.39,12.11,8
9459945,99.48,0.1,0.04,0.38,5
7871576,2.54,66.95,28.87,1.65,2
12639344,52.95,0.67,0.03,46.36,4
1638584,68.73,0.04,0.07,31.16,3
9130532,98.62,0.06,0.17,1.15,2
13960293,2.55,66.56,29.23,1.66,2
3593290,99.26,0.03,0.7,0.01,8
2811937,98.54,0.09,0.22,1.14,43
9415712,99.94,0.0,0.05,0.0,1
3309941,90.28,2.82,0.08,6.82,18
989163,94.69,0.02,0.07,5.21,19
13110631,96.49,0.23,0.61,2.67,15
5166870,99.27,0.1,0.06,0.58,32
7273770,99.51,0.01,0.45,0.03,4
7244031,99.92,0.0,0.07,0.01,6
13995573,99.96,0.0,0.03,0.0,1
3820516,52.21,21.75,25.7,0.34,2
11585459,31.12,38.41,21.22,9.25,4
11370704,99.72,0.07,0.03,0.18,2
7982359,99.97,0.0,0.02,0.01,3
6516588,99.76,0.03,0.19,0.03,9
13866156,99.94,0.0,0.05,0.01,1
12515067,98.64,0.01,0.05,1.3,6
11530331,99.96,0.0,0.03,0.01,1
12052820,70.69,0.14,3.52,25.65,12
13019695,92.85,0.01,0.07,7.06,21
7456890,99.86,0.0,0.13,0.01,7
13371105,3.31,71.64,1.03,24.02,1
13078025,99.94,0.0,0.05,0.01,2
915272,86.0,3.69,0.95,9.36,150
8390386,85.63,8.77,5.51,0.1,7
4879702,99.61,0.01,0.05,0.33,20
7214920,96.41,0.05,0.04,3.49,13
9114896,96.9,0.02,2.99,0.1,34
3021862,91.62,2.82,0.09,5.47,12
10478553,99.94,0.0,0.04,0.01,2
4510513,90.52,0.44,0.03,9.01,21
5606682,93.25,0.26,0.14,6.36,39
14340601,99.95,0.0,0.04,0.01,3
8184662,0.05,0.44,0.01,99.5,1
7449448,94.44,0.04,0.59,4.93,13
9974833,99.97,0.0,0.02,0.0,1
3606396,76.04,0.03,0.07,23.86,4
5478135,93.71,4.23,1.88,0.18,17
6015021,62.08,0.46,0.1,37.37,2
1373520,96.38,0.03,0.14,3.45,70
4670285,95.11,0.41,1.59,2.89,16
3673688,87.71,3.33,1.28,7.68,36
311240,88.3,4.42,1.34,5.94,92
12998272,99.84,0.0,0.15,0.01,1
13445221,1.65,59.16,39.08,0.11,1
11701611,94.59,0.02,0.11,5.27,8
798957,97.75,0.04,0.56,1.65,192
12489916,83.32,11.26,4.99,0.43,12
8813451,99.63,0.0,0.03,0.34,10
9166393,99.95,0.01,0.03,0.02,1
5832127,85.35,12.53,2.0,0.12,8
21891,87.64,3.21,1.75,7.41,21
1374434,95.58,2.44,0.16,1.82,23
6446940,70.39,23.16,0.37,6.07,4
6322283,94.52,3.91,1.54,0.03,18
10552485,23.81,47.14,28.88,0.17,9
10231714,93.66,1.69,1.0,3.65,38
8737466,70.44,20.12,9.3,0.14,10
4820071,94.09,2.49,1.09,2.33,174
3641545,99.88,0.01,0.11,0.0,5
5858133,99.9,0.0,0.08,0.02,1
5481243,98.22,0.05,0.71,1.02,15
4823089,88.72,0.58,1.71,9.0,28
11061030,99.9,0.0,0.09,0.0,2
1867754,3.79,52.7,0.32,43.19,1
14809866,1.65,59.16,39.08,0.11,1
1815326,98.95,0.04,0.2,0.81,125
7954808,92.34,5.55,0.03,2.08,18
3528826,98.01,0.07,0.27,1.65,103
2187766,87.24,1.33,0.26,11.17,22
14404992,99.95,0.0,0.04,0.01,2
163941,95.02,0.79,0.56,3.63,138
10036037,0.35,66.58,0.1,32.97,1
13015927,99.92,0.0,0.08,0.0,2
9855,67.31,11.99,0.19,20.52,3
8428052,99.54,0.03,0.38,0.05,9
7476671,96.3,0.66,0.56,2.47,8
13218392,99.79,0.01,0.05,0.15,3
1471308,72.86,8.38,1.68,17.07,72
13788865,86.87,0.13,0.32,12.68,8
12446656,99.73,0.0,0.13,0.14,10
3693850,96.38,0.16,0.42,3.04,184
13696794,99.87,0.01,0.11,0.01,2
8460627,41.38,36.52,21.93,0.16,5
14651378,99.98,0.0,0.01,0.01,1
7508063,98.59,0.01,0.11,1.28,9
9680953,72.58,21.91,5.3,0.2,18
9452993,91.1,1.19,0.1,7.61,11
9508975,99.97,0.0,0.02,0.01,1
2174711,87.97,5.59,1.28,5.16,101
3420221,91.69,3.76,1.56,2.98,35
7783953,99.96,0.0,0.03,0.0,1
7880828,92.78,0.55,0.87,5.8,90
13969106,67.04,0.02,0.02,32.92,3
9273978,99.67,0.03,0.13,0.17,5
1472520,97.05,0.66,0.65,1.64,231
13378936,99.88,0.0,0.1,0.01,4
627048,74.72,4.75,2.99,17.54,10
9933886,71.4,4.99,0.13,23.47,23
7367795,99.88,0.01,0.07,0.05,4
13306811,98.83,0.05,0.12,1.0,37
10426124,89.61,1.92,2.83,5.64,18
12382239,55.35,27.25,17.28,0.12,11
9474436,92.37,4.88,2.73,0.02,13
4699742,76.59,5.82,11.42,6.17,6
4574921,72.76,5.94,0.77,20.52,78
9755993,99.96,0.0,0.03,0.01,6
8146576,99.97,0.0,0.02,0.0,1
6887926,1.66,52.46,12.34,33.55,3
10747524,99.7,0.04,0.2,0.06,34
5405928,89.9,0.72,0.68,8.7,10
10083878,96.79,0.14,0.07,3.0,30
5706985,87.92,1.34,1.73,9.01,57
536865,86.32,1.6,0.22,11.87,185
7054912,99.97,0.0,0.02,0.0,2
629814,99.34,0.15,0.44,0.08,8
12953937,99.96,0.0,0.03,0.01,13
8067585,96.85,1.44,1.43,0.29,13
9415687,91.01,5.46,3.48,0.05,11
4409653,0.15,99.04,0.1,0.72,1
13778731,99.93,0.0,0.05,0.01,3
9845039,99.93,0.01,0.05,0.01,6
7511838,97.44,0.01,0.06,2.49,22
11563716,99.53,0.0,0.08,0.39,4
11653496,97.92,0.02,0.07,1.99,9
5659866,99.87,0.0,0.12,0.01,4
1332786,97.55,0.9,0.76,0.78,107
7634365,90.15,2.5,0.91,6.44,29
67774,96.8,0.07,0.18,2.95,11
12857981,99.9,0.0,0.08,0.02,3
7036112,99.95,0.0,0.04,0.01,6
12855396,0.68,1.09,0.08,98.14,1
12890156,77.35,14.84,7.53,0.28,13
10266397,51.82,3.37,0.07,44.74,4
11662212,91.83,1.58,2.11,4.47,31
1454258,99.65,0.14,0.08,0.12,163
4178790,88.98,0.23,0.13,10.66,37
14774868,50.85,30.62,18.35,0.18,2
12545716,99.96,0.0,0.03,0.01,3
5862806,96.29,0.01,0.06,3.64,30
5676025,69.26,11.67,9.02,10.05,19
8200839,92.71,3.97,1.66,1.66,18
6268082,88.19,0.02,0.07,11.73,14
8758450,99.93,0.0,0.06,0.01,2
9698226,98.89,0.09,0.15,0.87,37
14469677,99.96,0.0,0.03,0.0,3
8309604,99.95,0.01,0.02,0.02,1
3419711,92.97,0.06,0.15,6.82,47
1428355,99.81,0.02,0.14,0.03,62
7832890,99.86,0.0,0.14,0.0,2
9949819,51.3,34.83,13.63,0.24,2
12855343,99.29,0.01,0.62,0.09,22
8902304,96.88,0.12,0.22,2.78,19
2657905,84.72,0.59,0.09,14.6,49
2998554,89.81,0.28,0.15,9.76,19
4075898,94.27,0.25,0.14,5.34,41
10379031,99.94,0.0,0.05,0.01,8
849408,93.63,0.16,0.09,6.11,33
13460331,99.93,0.0,0.06,0.01,2
14374965,99.47,0.01,0.51,0.01,4
7840411,58.79,24.9,16.22,0.09,5
10850420,87.73,3.83,4.56,3.88,17
11220522,83.12,6.66,1.03,9.2,29
14698794,99.88,0.01,0.07,0.03,3
14759485,99.98,0.0,0.02,0.0,1
8515356,94.61,0.14,4.11,1.15,8
6426364,96.34,0.01,0.07,3.58,25
12309083,85.87,4.49,3.83,5.8,33
9841140,99.96,0.0,0.03,0.01,7
1717816,99.95,0.0,0.04,0.01,2
4294557,99.94,0.01,0.03,0.02,5
4947526,93.62,2.96,3.2,0.22,54
4025194,97.23,0.01,1.31,1.45,150
13767907,55.37,4.16,0.78,39.69,11
395975,99.9,0.0,0.08,0.01,13
10034183,60.65,23.95,15.33,0.07,5
13377097,99.93,0.01,0.04,0.02,5
9757412,98.68,0.11,0.53,0.68,15
8442314,89.57,6.18,3.02,1.23,27
8982616,91.47,3.33,1.45,3.75,153
14682588,1.55,52.64,45.76,0.05,1
